ArtifactCategory,ArtifactPath,Permissions
SystemInformation,/System/Library/CoreServices/SystemVersion.plist,user
SystemInformation,/Library/Preferences/com.apple.loginwindow.plist,user
SystemInformation,/etc/kcpassword,user
UserAccounts,/private/var/db/shadow/hash/*.state,user
UserAccounts,/private/var/db/dslocal/nodes/Default/users/*.plist,user
UserAccounts,/Library/Preferences/com.apple.preferences.accounts.plist,user
InstalledApplications,/private/var/db/.AppleSetupDone,user
InstalledApplications,/private/var/db/.AppleInstallType.plist,user
InstalledApplications,/private/var/db/install.log,user
InstalledApplications,/Applications,user
NetworkSettings,/Library/Preferences/SystemConfiguration/NetworkInterfaces.plist,user
NetworkSettings,/Library/Preferences/SystemConfiguration/preferences.plist,user
NetworkSettings,/Library/Preferences/SystemConfiguration/com.apple.airport.preferences.plist,user
NetworkSettings,/private/var/db/dhcpclient/leases/*.xml,root
NetworkSettings,/Library/Preferences/com.apple.Bluetooth.plist,user
Printers,/Library/Preferences/org.cups.printers.plist,user
Printers,/etc/cups/printers.conf,user
Printers,/var/log/cups/page_log,user
Printers,/var/log/cups/access_log,user
Logs,/var/log/system.log
Logs,/var/log/
